	GSM5016874	GSM5016875	GSM5016876	GSM5016877	GSM5016879	GSM5016880	GSM5016881	GSM5016882	GSM5016884	GSM5016885	GSM5016886	GSM5016887	GSM5016888	GSM5016889	GSM5016890	GSM5016891	GSM5016892	GSM5016893	GSM5016894	GSM5016895	GSM5016896	GSM5016897	GSM5016898	GSM5016899	GSM5016900	GSM5016901	GSM5016902	GSM5016903	GSM5016904	GSM5016905	GSM5016906	GSM5016907	GSM5016908	GSM5016910	GSM5016911	GSM5016912	GSM5016913	GSM5016914	GSM5016915	GSM5016916	GSM5016917	GSM5016918	GSM5016919	GSM5016920	GSM5016921	GSM5016922	GSM5016923	GSM5016924	GSM5016925	GSM5016926	GSM5016927	GSM5016928	GSM5016929	GSM5016930	GSM5016933	GSM5016934	GSM5016935	GSM5016936
Adipocytes	712.168875583012	674.049945896076	1377.19125839581	1644.54580843213	478.729366848244	753.613303426604	973.127011580185	1197.32262038485	494.684116303173	2105.54562112089	1102.98275997613	2052.24636195918	831.898659287535	794.51936153599	379.615778285607	1004.55274653962	1161.19404767105	876.407648234484	337.201481632899	733.523035362022	563.550661625279	648.5502602317	1335.39675880565	639.649595477416	845.409386795197	1698.81578783194	422.811954596994	1791.97858451234	2574.86013392728	1416.7955932286	940.636262048488	409.560652183296	1250.38703252316	236.354776000109	996.898892119103	946.95219559326	684.516056378358	1125.42150734419	983.754910062114	1181.95590437524	868.514996145322	874.697169173144	1293.62872813771	1375.01539532285	1806.33934450537	950.964440648987	1267.10943722679	1599.41642348533	586.121344188067	1722.67747187201	1360.50387015985	1350.57176823241	848.091654178353	948.903104242628	725.670934865443	1415.4079298985	723.836620092595	2154.8247967634
Astrocytes	395.825100895482	1448.93099962202	1619.60797911852	720.881936323211	571.282873663446	692.611775846682	1696.2049716021	677.785305203409	659.706566574788	607.429540317584	1081.22885124243	847.173470588337	1243.51989536361	805.665888834576	527.731519049322	1243.82960035727	399.42853896852	488.399950077455	378.712600132077	954.541037299242	58.7209748165224	1942.89479892959	2094.60576778289	1032.62503685672	1657.65372306189	1277.18869616287	287.609562182537	1856.50388481472	734.283139522306	1747.29391967266	589.786130066093	970.843206797858	1852.07669148171	1227.70168211264	738.403289215975	467.954573626064	1639.88298960193	1416.77350270447	275.191969680401	630.90460286436	698.800237404272	1882.21900876578	2343.01792086091	1287.59069853159	1668.53365566893	2067.71748700359	619.935127992379	713.914272704012	687.014624243193	1513.06806985444	989.31062743398	766.733472181715	2089.00348222986	287.173223446739	1196.72961988557	1746.00868735942	1735.96519412622	1740.51644975826
B-cells	684.961365200371	822.792756273654	434.573192284539	648.422375143623	765.474915050436	821.172011092805	623.835749896941	752.437793274268	642.970140253806	533.330586997127	490.519566889674	357.617431683835	897.516243404307	450.567053970153	658.084129090065	698.919230284147	738.784119776442	856.306259815716	625.676585932744	790.954933088152	789.390302442884	476.070653616953	802.331300598496	600.113976390209	419.666653246997	502.376923471951	878.521273571689	558.987598585993	627.910204162723	579.518151403359	596.853230465543	625.118691457458	766.094729228567	879.407387877869	683.100162063672	892.310539761609	707.70191908051	960.342627834772	812.741062842138	812.563092269874	661.909906472168	821.908579969712	263.730904252484	503.968040806309	223.479724289775	476.965790742341	390.571116792069	518.772151123142	445.4270826551	397.952237969635	439.086450361457	414.895378362732	189.25798576954	396.978502634747	352.615812579526	264.955072190442	377.152354683471	116.992039780361
Basophils	1154.08721919643	673.37152806245	436.649512780317	708.749527691124	1243.06978736086	1317.66891207599	718.660295457927	705.831975804898	1022.97368367172	334.63279348245	429.286202157353	463.90865460588	724.805061947366	653.567559316994	1029.94875657942	523.030359362911	884.128839474536	846.836524517131	1242.07531544108	543.806966103691	922.234438882522	582.05817555359	532.420891558485	658.250217884372	597.127716229793	422.533943125571	1017.64428441062	557.15904932101	369.754408060273	606.001794128359	699.618097984817	1007.27790106142	542.495515810359	696.549432495918	871.593577370501	785.65842952569	652.623646791473	887.243410555969	1197.76407703199	1389.80112733383	885.208113059065	1080.27987847252	511.6346838871	846.742705183261	660.686429286254	356.141236741751	726.388017014066	527.788820746557	1073.16238542065	633.114830396622	761.005989634996	878.929131542767	648.369597942825	1142.92950743366	846.941741023089	369.325409108325	595.688832580519	775.247228089847
CD4+ T-cells	637.246757187498	340.89970416452	546.764532137781	779.894706499783	548.963585364653	570.288614054426	521.047414551741	684.078138138796	600.333087993114	814.5934251711	329.966738226079	576.03756506353	533.148367113193	616.633233615145	530.495079212423	517.493396201856	595.232202526176	613.908902757176	561.049099026446	699.302744181647	499.216985617542	426.87065655926	443.644573708275	532.064718629301	265.850330001125	766.068738333874	736.787007119465	561.680572009227	734.19316999225	690.228885618042	664.365550063743	611.873409472826	566.530856009166	248.948606771827	595.051178870281	839.205569176473	443.167485294269	652.519674204441	864.277604466496	740.234146440602	647.770066252911	226.858605858617	177.460419720445	596.099374565025	391.696972040048	278.092904876648	416.449245120787	595.317744142444	525.613681874969	461.29288974049	537.59522361129	420.312717416399	70.8191721363492	507.562792083263	527.235003987999	437.458874540239	435.871892924911	269.6870700695
CD4+ Tcm	956.667242076077	667.124947204296	316.544469531668	694.302166011426	805.089721453572	916.566673898819	524.603592912126	873.179745993455	1014.52104704479	799.813189488761	193.058550454373	480.755785106962	765.313498105736	597.891482178668	652.727558961606	143.491384245202	893.502441255327	430.421996127874	505.26926196929	196.229018407454	643.219683854914	438.61187704472	425.514110491589	471.940321874595	305.883770698715	616.105980906315	873.95040638891	439.162636271704	981.463315417037	840.656735773925	706.315035137829	599.637558314657	364.054952220861	820.188511236522	691.597674594813	775.458259889916	442.106558100729	397.636029717101	942.999368419568	949.550502110748	842.317423401209	860.798124970536	542.795812522715	839.609633853709	1026.33884660406	273.668853789849	705.279742620455	1061.81373015021	725.485952692325	589.220320307051	1117.02838716167	653.882810050544	224.057986540746	834.146961790739	1107.82394497141	700.985033841945	776.607292822951	440.975751310021
CD4+ Tem	651.983898766938	671.853538212966	484.376829093008	389.812427098115	365.706637025679	340.310112018863	591.973345620682	474.530107192353	721.71236142406	404.163674230117	389.052555208682	597.972885351484	595.097786399462	519.760840004595	504.25820793837	280.135292350918	555.42939783527	313.553406237911	293.309389906371	590.55358339004	524.527222527431	387.127372816445	492.009726241149	730.181028026899	415.381361527968	456.491162265907	625.315333064907	576.415107347693	449.371871196541	783.668914088743	393.189372569136	563.010165697332	322.293329281064	850.924092168028	383.087951940416	290.270949792311	440.585113814467	354.969911020551	488.466208649634	532.83415829921	357.262029149316	739.758381894538	542.781076101992	425.245531126137	790.014273119692	305.668311299427	441.312482519721	598.51477489952	678.835966455193	626.331425058778	601.268122832539	645.922756329537	335.319585313023	475.422622120679	1049.16600476247	487.64647152811	610.295322513201	656.530547770261
CD4+ memory T-cells	918.729874780637	857.354804419068	664.848974621878	424.827162262345	588.199140869904	488.948018373412	788.240499333471	591.48422734142	785.494009493979	264.539079989177	869.220427167623	396.788274751454	658.391376091609	748.08628391764	765.68427643284	995.652043657957	552.026006004411	678.032609248313	624.425671049733	836.67608677392	878.609067560305	493.433772957269	699.783139516564	624.898434470902	705.30827448823	341.497944823005	604.379579305226	594.055620441625	229.427168733413	772.482906842823	536.328861127307	736.064887532944	730.815454188068	659.144015653159	661.05125627399	644.690333913505	841.007088390276	633.585249890031	709.898042522827	361.310064365895	472.730700959147	389.998584367661	508.721284621395	486.709168272794	907.626522504964	589.636239293733	685.775222052527	361.645509925831	624.811744282337	724.796309259599	597.800619357667	559.287235533501	654.200925445796	773.788413722825	517.281649971316	406.760395329597	686.542536371547	649.370352655399
CD4+ naive T-cells	750.116392290145	500.430729737179	593.669253406648	708.879191076973	717.003926979352	737.293195899661	527.40749636836	725.382966985312	836.845180336717	678.941802983464	480.035798116977	492.44319939887	691.257039033456	573.628640311933	668.836371745982	424.531869920671	786.381997574668	581.33162412106	810.565006521954	816.97489603767	795.188399840267	656.447043159952	540.833611003792	682.121122557415	358.843526819986	707.107050994984	987.032448234268	719.202655484527	655.271899900459	985.709943106624	706.915155780563	847.589262952283	758.999242482733	591.384043785924	627.182180022629	935.710499402804	557.746597897832	667.806229690702	1010.14024498951	948.903315752536	927.275594753448	628.478355243922	471.070654898441	705.744582115611	654.134358955779	446.411683200714	480.150482263055	646.11867783214	718.864028248822	507.680586569441	607.330336369048	546.072412130711	375.926434556939	578.983977522349	804.85654316901	443.554398322498	826.98229025791	206.942984271733
CD8+ T-cells	665.443216392113	537.563086372333	546.035960248731	763.527003749049	566.408298069099	566.981131698653	459.713239577647	655.945104994792	696.333775286964	876.731235924212	498.115326030649	452.807115237722	450.083932354614	404.536709448293	660.726842619696	524.831873082123	694.181423573902	309.888466097753	592.868902365826	447.340092779008	595.357242438897	376.248354932058	662.330573290885	579.702873383417	420.806592140431	607.884112576085	773.469321406457	526.911887176509	876.159318153406	674.804523211536	620.060855499466	714.736307148038	364.813125802672	444.905822782145	536.163943579953	789.163522440304	458.502985446555	431.616112267689	838.287882588272	687.431287738686	773.322129483472	493.844542896659	391.211174255774	557.327641692007	461.252018791914	419.961457184825	562.004583523865	634.706512327474	692.461033921792	509.69412154636	626.001968535048	474.360080569189	246.435741372094	473.494973161058	684.311181360888	520.786023289318	379.528475855755	316.648847251559
